Subject,Catalog Number,Title
ESP,763,Sem Sel Sp Ed Topic
FAB,200,Sustainable Food Tourism
FILM,100,Intro to Film
FILM,410,Maj Fig in Cinema
FILM,450,Adv Directed Studies in Film
FILM,497,Genre Stds in Film
FIN,301,Prin of Managrl Fin
FIN,303,Inter Managral Fin
FIN,435,Financial Modeling
FIN,709,Applied Topics in Finance
GAM,225,Intro to Gaming Mgt
GEOG,103,Phy Geog of Earth's Env
GEOG,104,Physical Geog Lab
GEOL,100,Natural Disasters
GEOL,101,Exploring Planet Earth
GRC,210,Typography I
GRC,250,Design & Media Studio I
GRC,270X,History of Graphic Design
GRC,320,Design Methods and Research
GSC,100,First Year Seminar
GSC,300,GCUA SYS: Civic Engagement
HCA,175,U.S. Healthcare System
HCA,201,Healthcare Law
HCA,202,Epidemiology for HCA
HCA,203,Diversity and US Hlthcare
HCA,205,Intro to Health Econ
HCA,216,Fundamental of Accounting
HCA,299,Leading in Hlthcare Envir
HCA,300,Mgmt Hlth Serv Orgs
HCA,302,Healthcare Finance
HCA,308,Health IS Management
HCA,330,Strategic Planning
HCA,401,Pre-Practicum in HCA
HCA,403,Managed Care
HCA,404,H.R.Mgmt: HC Orgs
HCA,701,US Healthcare System
HCA,702,Epi Hlth Srvs Mgt
HCA,717,HR Mgt of Healthcare Orgs.
HED,607,Stress Management
HED,629,Education for Sexuality
HED,635,Hlth Studies Drugs
HED,761,Health Disparities
HIST,100,Hist Issu Contem Society
HIST,101,US Colonial Times to 1877
HIST,102,U.S. Since 1877
HIST,103,Global Prblms in History
HIST,110,Hist of Multi in America
HIST,209,World History II
HIST,217,Nevada History
HIST,228,Latin Amer Hist & Cult II
HIST,367,The Holocaust Euro Set
HIST,388,Great Personalities Hist
HIST,410B,Am Cultrl Intell Hist II
HIST,444,Latinos in the Amer West
HIST,449B,Hist of Japan Since 1800
HIST,644,Latinos in the Amer West
HIST,649B,Hist of Japan Since 1800
HMD,101,Foundatns of Hospitality
HMD,120,Intro Hosp Customer Exper
HMD,130,Fundamentals F&B Oper
HMD,200,Hospitality Milestone
HMD,204X,Hotel Operations
HMD,205,Hospitality HR Management
HMD,220,Facilitating Customer Exp
HMD,221,Hospitality Financial Acc
HMD,225,Hospitality Leadership
HMD,226,Hospitality IT
HMD,256,Employee Compensation
HMD,305,Hospitality Org Behaviors
HMD,310,Hospitality Ops & Emp Law
HMD,330,Hosp Purch/Cost Control
HMD,340,Hosp Financial Analysis
HMD,350,Hospitality Marketing
HMD,395,Facilities Management
HMD,400,Immersive Culminate Exp
HMD,405,Hospitality Strategic Mgt
HMD,410,Integrated Resorts CE
HMD,440,Rev Mgmt & Profit Optmize
HMD,480,Hosp Industry Projects
HOA,717,Princ & Pract Conv/Meet
HOA,730,Stats Analysis for Hospitality
HOA,751,Hosp Service Mgmt
HOA,752,Adv Hosp Mgt I
HOA,753,Adv Hosp Mgt II
HOA,768,Hosp Leadership I
HON,100,Honors Rhetoric
HON,110,World Thought
HON,115,Global Issues
HON,430,Special Topics Seminars
HON,440,Special Topics Seminars
HSC,100,Intro to Academ and Sch in HSC
HSC,103,Intro to OT
HSC,700,Statistics I
HSC,706,Writing and Communication
IDS,201,Interdisciplinary Studies
IDS,494,Interdisciplinary Inquiry
IDS,495A,IDS Capstone
INTM,5000,High Value Care
IPSM,606,College Athletic Admin
IS,101,Intro to Info Systems
IS,330,Tech and Innovation
IS,335,Business Analytics
IS,380,Object-Oriented Program
ITAL,113,Elementary Italian I
ITAL,114,Elementary Italian II
JMS,613,History of Journalism
JMS,650,Media Innov and Society
JOUR,107,Media: Foundations
JOUR,207,Media: Words and Numbers
JOUR,209,Mobile Storytelling
JOUR,211,Storytelling and Design
JOUR,310,Advanced Reporting
JOUR,401,1st Amendment & Society
JOUR,411,Digital Newsroom
JOUR,413,History of Journalism
JOUR,435,Mass Comm Rsrch Methods
JOUR,450,"Media, Innovation, & Soc"
JOUR,475,Global Media
KIN,170,Intro Kinesiology w/Lab
KIN,175,Physical Activity and Health
KIN,200,Stats for the Health Sci
KIN,223,Human Anatomy and Physiology I
KIN,224,Human Anatomy & Physiology II
KIN,245,Anat Kinesiology
KIN,261,Phys Activity in Aging
KIN,316,Motor Devel Acrs Lifespan
KIN,350,Soc Psych of Physical Activ
KIN,408,Sci Basis Strength Devel
KIN,411,1st Resp & Mil Human Perf
KIN,414,Enhance Mental/Motor Abil
KIN,424,KIN PRO DEV
KIN,465,Neurophys of Mvmt
KIN,496X,Advanced Clinical Anatomy
KIN,611,First Resp & Military Perf
KIN,751,Sel App Stat Tech I
KIN,754,Health Sci Writing and Comm
LAS,100,Intro Latina/o Studies
LAS,101,Intro Latin American Stud
LDE,313,Leadership & Soc Justice
MATH,20B,Learning Support MATH120E
MATH,24B,Learning Support MATH124E
MATH,26B,Learning Support MATH 126
MATH,120,Fund Coll Math
MATH,120E,Fund College Math w Coreq
MATH,124,College Algebra
MATH,124E,College Algebra Expanded
MATH,126,Precalculus I
MATH,126E,Precalculus I Expanded
MATH,127,Precalculus II
MATH,132,Finite Mathematics
MBA,761,Accounting for Managers
MBA,769,Applied Econ Analysis
ME,319,Intro Prog for Mech Eng
ME,337,Engr Measurements
ME,755,Nuclear Criticality Safety Eng
ME,757,Rad Monitoring Safeguards
MED,4000,Patient Script Writing
MGT,301,Prin Mgt & Organ Beh
MGT,302,Small Business Management
MGT,371,Leadership & Managerial Skills
MGT,492,Adv Org Behavior
MGT,494,Seminar in Management
MGT,497,Business Plan Creation
MHA,603,Hum Res & Beh Hosp
MHA,604,Hospitality Org Beh Issues
MHA,622,Sociology of Gambling
MHA,627,Gaming Technologies
MHA,635,Research Methods
MHA,640,Marketing Systems
MHA,646,Essentials of Negotiation
MHA,651,Hospitality Service Management
MHA,663,Current Trends in Gaming Ops
MHA,681,Independent Study and Research
MHA,788,Professional Paper
MIL,264,US Military Hist 1770-Present
MIS,761,Business Analytics Mtds
MIS,769,Big Data
MKT,747,Global Digital Mktg. Strategie
MKT,777,Services Marketing
MUS,101,Music Fundamentals
MUS,121,Music Appreciation
MUS,125,History Rock Music
MUS,131,Intro to Music Lit
MUS,139E,Music Tech for Educators
MUS,346,Jazz & Comm History II
MUS,640,Found Prin Mus Educ
MUS,641,Studies Mus Curr
MUS,672,Research Proj in Music Ed
MUS,719,Tchg Mus in Higher Ed
NURS,140,Medical Terminology
NURS,200,Stats for the Health Sci
NURS,299,Nutr Devel Lifespan
NURS,306,Pathopharm I
NURS,320,Pathopharm II
NURS,325,Prof Communication
NURS,420,EBP and Research in Nsg
NURS,710,Eval Strat for Nsg Ed
NURS,711,Informatics and Qual Improve
NURS,718,"Organizational Management, NPs"
NURS,730,Adv Pharm and Gen II
NURS,733,Nursing Education Practicum I
NURS,740R,FNP Adult and Women's Health
NURS,768,DNP Forum
NURS,779,Grant Writing
NURS,785,Sp Topics Nurs Research
NURS,788,DNP Project
NURS,794,PMHNP I
NURS,797,Dissertation
NUTR,121,Human Nutrition
NUTR,301,"Nutr,Health & Ethn Issue"
NUTR,311,Nutrition Assessment
NUTR,311L,Nutrition Assessment Lab
NUTR,326,Principles of Food Science
NUTR,340,Intro Sports Nutr
NUTR,408,"Nutrition, Food & Policy"
NUTR,427,Med Ntr Therapy II
NUTR,431,Seminar in Nutrition
NUTR,450,Nutritional Pathophysiology
NUTR,631,Seminar in Nutrition
NUTR,794,Prep for prac nutr diet
OCT,705,Distance Education
OCT,711,Capstone II
PAF,713,Research in Public Affairs
PBH,165,Pers Hlth Acrs Lifespan
PBH,200,Multicultural Health
PBH,202,Intro Epidemiology
PBH,205,Intro to Public Health
PBH,210,Principles of Health Promotion
PBH,225,History of Public Health
PBH,330,Global Health
PBH,340,Built Environment and Health
PBH,365,Pub Hlth Biostatistics
PBH,407,Stress Management
PBH,424,Tching Elem School Health
PBH,429,Education for Sexuality
PBH,435,Hlth Studies Drugs
PBH,440,Prgm Plan and Eval
PBH,445,Food and Health
PBH,460,Human Ecology
PBH,495,Capstone
PED,307,Eval Phys Ed
PEX,156,Body Weight Bootcamp
PEX,161,Pilates I
PGM,178X,Intro to Club & Golf Mgmt
PGM,462,PGM Internship IV
PHIL,101,Intro to Philosophy
PHIL,102,Crit Thinking & Reasoning
PHIL,114,Intro to Symbolic Logic
PHIL,124,Phil Tradit of Asia
PHIL,130,Topics in Phil/Relgn
PHIL,135,Intro to Ethics
PHIL,203,Existentialism
PHIL,242,Ethics Engners/Scientists
PHIL,249,Environmental Ethics
PHIL,422,Advanced Logic
PHYS,151A,General Physics I
PHYS,151L,General Physics I Lab
PHYS,152A,General Physics II
PHYS,152L,General Physics II Lab
PSC,100,Nevada Constitution
PSC,101,Intro Amer Politics
PSC,211,Intro to Comparative Politics
PSC,231,Intro to Int'l Relations
PSC,332,Judicial Process
PSC,405U,International Security
PSC,407E,Politics in Latin America
PSC,499,Senior Seminar
PSY,101,Gen Psych
PSY,200,Intro to the Psychology Major
PSY,210,Intro Statistical Methods
PSY,240,Research Methods
PSY,303,Foundations of Neuroscience
PSY,305,Foundations of Perception
PSY,308,History of Psychology
PSY,316,Foundations of Cognitive Psych
PSY,330,Dev Psy: Infant and Child
PSY,334,Dev Psy: Adol & Adult
PSY,341,Abnormal Psychology
PSY,350,Intro Industrial/Org Psy
PSY,360,Foundations Social Psychology
PSY,420,Psychology Learning
PSY,431,Multicultural Psych
PSY,433,Culture and Pers
PSY,442,Psychology of Aging
PSY,446,Human Neuropsychology
PSY,466,Dimensions of Human Sexuality
PSY,470,Health Psychology
PSY,481,Prin Psy Assessment
PSY,490,Capstone Psych
PUA,701,Governance & Urban Community
PUA,703,Sem Organiz Theory
PUA,705,Public Goods and Public Financ
PUA,723,Research Methods
PUA,776,Development for Npos
RADG,2000,Radiology Learning Modules
SCM,352,Operations Mgmt
SOC,101,Principles of Sociology
SOC,102,Contemporary Socl Issues
SOC,403,Tech Soc Research
SOC,413,Sociology of Sport
SOC,431,Crime Crim Behavior
SOC,441,Social Inequality
SOC,447,Marriage and Family
SOC,449,Sex and Soc Arrang
SOC,466,Soc of Medicine
SOC,469,Global Migrations
SOC,474,Sociology Religion
SOC,489,Capstone Sociology
SPAN,113,Elementary Spanish I
SPTM,420,Internship Sport Mgt
SW,101,Intro to Social Work
SW,315,Human Behv & Soc Envirn I
SW,475,Treatment of Addictions
SW,675,Treatment of Addictions
SW,703,Social Welfare Policy II
SW,726,Swk Research II
SW,730,Macro Theory and Practice
SW,750,Dir Prac II
SW,765,Financial Management
SW,770,Mcp II
SW,778,Trauma-informed Practice
SW,782,TIP Policy
SW,790,TF Family-based Practice
TCA,311,Event Sales & Marketing
TCA,331,Asian Tourism
TCA,449,International Tourism
TESL,752,Methods and Curriculum for ELs
TESL,759,EL Seminar
ULD,720,Urban Governance
ULD,722,Urban Issues
ULD,735,Desgn Thinkng for Urban Issues
ULD,742,Soc Media and Comm Tech
ULD,754,Collaborative Leadership
ULD,780,Legacy Project
URST,241,Govern in the United States
URST,301,Theories Urb Com
URST,303,Intro to Urb and Dem
URST,305,Data Analysis for URST
URST,310,Urban Policy Analysis
URST,405,Diverse in URB AM
URST,425,Pub Resources Management
URST,441,Intergov in Urban Studies
URST,498,URST Capstone
WMST,101,Intro to Women's Studies
WMST,113,"Gender, Race, & Class"
ANTH,103,Evolution of Everything
ANTH,400C,Southwest Native Americans
ANTH,422,Psychological Anth
ANTH,436,History of Anthro
ART,107,Design Fund I
ART,266,Survey of Art History III
ART,436,Alternative Photo Process
ART,480*,Art of China
ART,481,Art of Japan
CED,250X,School Based MH Careers
CED,310,Lifespan Relationships
CED,315,Counsel Skills in Svcs
CED,375,Eth/Prof Issues Hum Serv
CED,701,Intro to Counseling
CED,704,Grief and Loss Counseling
CED,722,Intro to Child Coun Play Thrpy
CED,731,MSJC
CED,732,Adv Multi Counseling
CED,735,Addictions Counseling
CED,736,Human Sexuality
CEE,468,GIS Applications Civil Eng
CEE,482,Design Timber Structures
CEE,668,GIS Appl in Civil Engr
CEE,682,Design Timber Structures
CEE,695,Special Topics
CFT,350,Human Sexuality
CIE,629,Curr Dev Elem Math Educ
CIG,602,Differentiated Curr&Instr
CIG,649,Soc Studies Educ Seminar
CIG,684,Data Literacy
CIG,687,Coaching Practices
CIG,720,Prin Mathematics Learning
CIG,782,School Climate
CIG,783,Thry Resch Sch Math
CIG,787,Indv Inst Elem Math
CIL,600,Tpc Lit Educ
CIL,641,Instr Eng & Lang Arts
CIL,684,Multicultural Literature
CIS,629,Curr Dev Sec Math Educ
CIT,649,Instr Mthd Computer Appl
CIT,651,Instr Mthds Cmptr Science
CME,705,Multicultural Education
COM,317,Organizational Comm
COM,318,Audience Communication
COM,328,Interviewing & Self Present
COM,404,Prin of Persuasion
COM,604,Prin of Persuasion
CPE,200,Digital Logic Design II
CPE,200L,Digital Logic Design II Lab
CPE,300,Dig Sys Arch & Des
CPE,302,Syn and Verify using PDs
CPE,407,Biometrics & Machine Learning
CRJ,164,Princ of Investigation
CRJ,405,Hist of Crim Just
CRJ,411*,Comparative Crj Sys
CRJ,450,Sem in Crim Justice
CRJ,460*,Pub Pol Crime Crim Just
CRJ,480,Law & Social Control
CS,202,Computer Science II
CS,437,Building Cloud Apps
CS,437,Building Apps in the Cloud
CS,443,Information Assurance
CS,637,Building Apps in the Cloud
CS,643,IInformation Assurance
CSEC,600,Intro to Cybersecurity
CSEC,734X,Cyber at US Level
ECE,709,Invstg E Chldhd Ed
ECEM,735,Cyber Lab
ECG,607,Biometrics
ECO,502,Intermed Microeconomics
ECO,641,Intro to Econometrics
ECON,262,Principle Statistics II
ECON,302,Intermed Microeconomics
ECON,441,Intro to Econometrics
EDEL,495,Elem Education Topics
EDH,703,Hist Am Higher Ed
EDH,732,Read Adm of Hgr Ed
EDRL,425,Tch Writing Sec Schls
EDSC,413A,Teach Sec Arts: Art
EDSP,464,Int Inst through MTSS
EDW,539,Methods Teach Workforce Ed
EDW,575,Performance-Based Education
EDW,692,DEIA in Career Education
EDW,768,Grants in Education
EDWF,439,Gen Meth Workforce Ed
EDWF,475,Career Dev & Wrk Bsd Strt
EE,221,Circuits II
EE,221L,Circuits II Lab
EE,320,Electronics I
EE,320L,Electronics I Laboratory
EE,360,Signals & Systems I
EE,361,Signals and Systems II
EE,370,Control Systems I
EE,450,Solid State Devices
EMHA,702,Epidemiology in Hlth Serv Mgmt
EMHA,710,Pub Hlth Fund for HC Leaders
EMHA,761,Hlthcare Law Ethics for Mngrs
ENG,271,Intro to Shakespeare
ENG,285,Intro. to Latinx Lit.
ENG,400,Document Design
ENG,425A,Themes of Literature
ENG,426B,Mythology
ENG,434B,Shakesp Comed/Hist
ENG,445B,Victorian Poetry
ENG,449A,British Literature I
ENG,449B,British Literature II
ENG,451A,American Literature I
ENG,460,Amer Short Story
ENG,462C,Modern American Poetry
ENG,473B,Mod Am Novel
ENG,486B,Postcolonial Literature
ENG,625A,Themes of Literature
ENG,634B,Shakesp Comed/Hist
ENG,645B,Victorian Poetry
ENG,660,Amer Short Story
ENG,662C,Modern American Poetry
ENG,673B,The Modern American Novel
ENG,791,Coll Tch Lang Lit
EOH,730,Inf Prev Prog Oview
EPP,730,Consultation
EPP,770,Systems Change
EPP,772,Psychological Science
EPP,775,Child & Youth Crisis
EPP,777,Family-School
EPP,793,Advanced Prac
EPY,712,Foundation Lrn & Cogn
ESP,709,Diag Pre Assess Div Lernr
ESP,728,Theory of Ply Dev
ESP,734,Voc & Car Ed Disab Trans
ESP,755A,Med Related Dis: Lifespan
ESP,773,Assmt Young Child Disab
ESP,775,Strat Early Chld Sp Ed
FAB,290,Bar Operations Management
FILM,110,Lang of Film
FILM,300,Film Criticism
FILM,416,Screenwriting I
FILM,417,Screenwriting II
FIN,102X,Personal Fin. Literacy
FIN,307,Investments
FIN,308,Intern Fin Mgt
FIN,312,Money and Capital Markets
GAM,470,Quan Meth/App Casino Gam
GRC,365,Web Design
GRC,380,Design & Media Studio II
HCA,431,Quality Mgmt in HCO
HCA,452,Health Politics & Policy
HCA,493,HCA Practicum
HCA,631,Quality Management in HSOs
HCA,652,Hlth Pol & Policy
HCA,716,Healthcare Acct & Finance
HIST,105,European Civ to 1648
HIST,106,European Civ Since 1648
HIST,151,Intro Japanese Civ
HIST,330,Great Cities in History
HIST,375,Topics in Sports History
HIST,406B,Am West Since 1849
HIST,415A,US Gilded Age 1877-1900
HIST,438A,Amer Indian History to  1851
HIST,606B,Am West Since 1849
HIST,615A,US Gilded Age 1877-1900
HIST,638A,Amer Indian Hist To 1851
HMD,203,Front Office Operations
HMD,351,Internship in Hospitality
HOA,732,Advance Stats in R
HOA,776,Current Issues in Hosp
HOA,786,Culminating Experience
HON,410,Special Topics
IB,425,Global Consumer Behavior
IB,480,International Business
IPSM,707,Special Topics in Sp Mgt
IS,210,Intro to Program Method
JMS,601,The First Amend & Society
JOUR,113,Digital Info. Literacy
JOUR,210,Introduction to PR
JOUR,316,Adventure Media
JOUR,347,Social Networks and Media
JOUR,375,Social Media Strategies
JOUR,420,Visual Literacy
JOUR,447,Virtual Worlds
KIN,150,Emergency Management
KIN,309,Essentials of Pers Train
KIN,346,Biomechanics
KIN,391,Exercise Physiology
KIN,410,Advanced Strength Methods
KIN,475,Sem Sport & Fitness Mgt
KIN,490,Internship in KIN
KIN,614,Enh Mental Motor
LDE,201,Intro to Leadership
MAT,680,College Geometry
MAT,789,Topics Adv Math
MATH,480,College Geometry
MBA,763,"Leadership,Teams,& Individuals"
ME,756,Monte Carlo Methods in NE
ME,761,Prob Risk Assess (PRA)
MGT,367,Human Resource Mgt
MGT,480,International Mgmt
MGT,740,Effective and Applied HRM
MIS,740,Software Concepts
MIS,746,Is Project Mgt
MIS,766,Database
MKT,301,Marketing Management
MKT,380,Marketing Digital Exper
MKT,425,Global Consumer Behavior
MKT,472,Marketing Plan & Analysis
MUS,134*,Jazz Appreciation
MUS,770,Seminar Spec Topics
NURS,712,Management & Perf. Improve.
NURS,714,Fam Thry and Hlth Promotion
NURS,719R,Policy Adv Practice
NURS,724,Dev & Eval Curric for Nurs Ed
NURS,735,Healthcare Outcomes Management
NURS,743,Nursing Education Practicum II
NURS,748,Team Science
NURS,750R,FNP Children and OB
NURS,753,Nurse Ed Scholarship Project
NURS,767,Collaboration & Negotiation
NURS,772,The Nurse as Leader
NURS,777,Indvd Stu/Dissertatn Sem
NURS,789,Independent Study
NURS,796,Psychopharmacology II
NUTR,407,Compl & Integ MNT
NUTR,607,Compl & Integ MNT
OCT,702,Leadership and Advocacy
OCT,707,Evidence Based Education
OCT,741,Prof Develop Seminar I
OCT,761,Professional Dev Seminar II
PBH,360,Research Methods
PGM,162,PGM Internship I
PGM,262,PGM Internship II
PGM,362,PGM Internship III
PSC,200,Surv Political Thry
PSC,302,Research Methods in Psc
PSC,304,The Legislative Process
PSC,403N,Pub Pol Around the World
PSC,405Q,Global Ecopolitics
PSC,407Q,Political Violence/Terror
